age_range,industry,job_title,annual_salary,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",currency,"If ""Other,"" please indicate the currency here: ",country,"If you're in the U.S., what state do you work in?",What city do you work in?,current_years_experience,How many years of professional work experience do you have in your field?,education,gender,What is your race? (Choose all that apply.)
25-34,Information Technology,Manager (General),90000,0.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Director,50000,0.0,USD,,United States,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Health,Director,85000,0.0,USD,,United States,New York,New York City,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Retail/Sales,Manager (General),87000,15000.0,USD,,United States,California,San Jose,8 - 10 years,2 - 4 years,High School,Woman,White
35-44,Legal,Other,125000,,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Real Estate,Other,55000,5000.0,USD,,United States,Texas,Dallas,11 - 20 years,5-7 years,Some college,Woman,White
55-64,Legal,Other,275000,0.0,USD,,United States,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman,White
25-34,Other,Manager (General),48500,,USD,,United States,Massachusetts,Boston,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Engineering/Manufacturing,Software Engineer,139000,9000.0,USD,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Legal,Other,54080,500.0,USD,,United States,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Insurance,Manager (General),170000,30000.0,USD,,United States,,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Marketing,Marketing Manager,60000,,CAD,,Canada,,Remote Worker,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Education,Librarian,70000,1000.0,USD,,United States,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White
25-34,Nonprofit,Other,53000,0.0,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Health,Other,82160,,USD,,United States,Wisconsin,Eau Claire,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Other,Other,71000,,USD,,United States,New York,buffalo,11 - 20 years,2 - 4 years,College degree,Woman,White
18-24,Engineering/Manufacturing,Other,25700,0.0,USD,,United States,Indiana,West Lafayette,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Other,Other,105000,0.0,USD,,United States,,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,Librarian,77000,,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Health,Other,50000,,USD,,United States,Arizona,Phoenix,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Education,Other,25217,,GBP,,United Kingdom,,Glasgow,5-7 years,5-7 years,College degree,Woman,White
25-34,Government,Other,31616,,USD,,United States,Georgia,Too identifiable,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Government,Other,95000,2000.0,USD,,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18-24,Business/Consulting,Data Scientist/Analyst,62000,,USD,,United States,Massachusetts,Braintree,1 year or less,1 year or less,College degree,Woman,White
35-44,Health,QA/Test Engineer,75000,7500.0,USD,,United States,Indiana,Clinton,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Teacher,71000,,USD,,United States,New York,New York ,5-7 years,5-7 years,College degree,Non-binary,White
45-54,Information Technology,Analyst (General),88000,,USD,,United States,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Real Estate,Other,31500,0.0,USD,,United States,South Carolina,Columbia,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Health,Other,76000,,USD,,United States,Massachusetts,Woburn,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Health,Other,165000,30000.0,USD,,United States,Massachusetts,Boston ,21 - 30 years,21 - 30 years,College degree,Non-binary,White
25-34,Finance,Analyst (General),45760,0.0,USD,,United States,California,Anaheim,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Marketing,Manager (General),86000,0.0,USD,,United States,Florida,Orlando,5-7 years,5-7 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Project Manager,78240,0.0,CAD,,Canada,,Calgary,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education,Other,56000,0.0,USD,,United States,Wisconsin,Appleton,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Retail/Sales,Other,23050,,GBP,,United Kingdom,,London,11 - 20 years,8 - 10 years,Not Specified,Woman,White
25-34,Education,Other,67000,2000.0,USD,,United States,Minnesota,Bloomington,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Legal,Other,125000,,USD,,United States,Tennessee,Chattanooga,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Real Estate,Project Manager,55000,0.0,USD,,United States,Florida,Jacksonville,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Manager (General),125000,50000.0,USD,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Health,Other,60000,,USD,,United States,Tennessee,Memphis,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Legal,Other,190000,,USD,,United States,Massachusetts,Boston,1 year or less,1 year or less,Master's degree,Woman,White
45-54,Energy,Analyst (General),60320,0.0,USD,,United States,Pennsylvania,Pittsburgh,21 - 30 years,8 - 10 years,Some college,Woman,White
35-44,Biotech,Manager (General),125000,18750.0,USD,,United States,North Carolina,Durham,5-7 years,2 - 4 years,PhD,Woman,White
45-54,Education,Teacher,94000,,USD,,United States,Connecticut,Stamford,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Health,Other,98000,0.0,CAD,,Canada,,Rural Ontario,8 - 10 years,2 - 4 years,Master's degree,Woman,White
35-44,Government,Administrative Assistant,49000,0.0,USD,,United States,Oregon,Newport,11 - 20 years,11 - 20 years,Some college,Woman,White
35-44,Nonprofit,Director,120000,0.0,USD,,United States,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Other,28000,0.0,USD,,United States,New Jersey,New Brunswick,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
55-64,Other,Consultant,135000,,USD,,United States,Illinois,"Chicago area mostly, but also the US and Canada",31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Education,Other,40575,0.0,USD,,United States,Washington,Spokane,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofit,Other,75500,0.0,USD,,United States,North Carolina,Durham,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Marketing,Supervisor,115000,12000.0,USD,,United States,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
35-44,Government,Analyst (General),70000,,USD,,United States,Massachusetts,Greater Boston area,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Information Technology,Graphic Designer,110000,1400.0,USD,,United States,Illinois,Chicago (remote) ,5-7 years,5-7 years,College degree,Woman,White
18-24,Agriculture,Engineer (Non-software),29000,0.0,USD,,United States,South Dakota,Rapid City,1 year or less,1 year or less,Some college,Woman,White
55-64,Marketing,Graphic Designer,61000,,USD,,United States,Illinois,Mount Prospect,31 - 40 years,31 - 40 years,College degree,Woman,White
55-64,Nonprofit,IT/Systems,47250,0.0,USD,,United States,West Virginia,"Huntington (remote, HQ is in Charleston)",11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing,Other,96000,4000.0,USD,,United States,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Some college,Man,White
35-44,Information Technology,Other,260000,0.0,EUR,,Germany,,Düsseldorf,21 - 30 years,11 - 20 years,High School,Non-binary,White
35-44,Nonprofit,Other,45000,,USD,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Other,Other,72000,0.0,USD,,United States,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Government,Writer/Editor,78167,,USD,,United States,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman,White
25-34,Finance,Manager (General),132500,55000.0,USD,,United States,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Information Technology,Manager (General),124000,0.0,USD,,United States,Tennessee,Remote,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Marketing,Consultant,108000,0.0,USD,,United States,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,College degree,Man,White
35-44,Finance,Consultant,110000,5000.0,USD,,United States,North Carolina,Charlotte ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Director,83000,,USD,,United States,Arizona,Flagstaff,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing,Engineer (Non-software),110000,14000.0,USD,,United States,,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Coordinator,45000,,USD,,United States,Illinois,Carlinville,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Government,Writer/Editor,91000,2000.0,USD,,United States,District of Columbia,Washington,11 - 20 years,5-7 years,PhD,Woman,White
35-44,Engineering/Manufacturing,Manager (General),117000,17550.0,USD,,United States,Minnesota,Chaska,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Insurance,Supervisor,59000,7000.0,USD,,United States,,"Omaha, NE",21 - 30 years,21 - 30 years,Some college,Woman,White
35-44,Education,Other,71697,0.0,USD,,United States,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,White
45-54,Real Estate,Manager (General),90000,9000.0,USD,,United States,California,Sacramento,31 - 40 years,21 - 30 years,Some college,Woman,White
35-44,Education,Director,120000,,USD,,United States,Massachusetts,Western Mass,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Administrative Assistant,52000,0.0,USD,,United States,New York,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin"
25-34,Real Estate,Other,61500,,CAD,,Canada,,Calgary,8 - 10 years,8 - 10 years,Some college,Woman,White
35-44,Transportation,Other,80000,5000.0,USD,,United States,New York,New York ,21 - 30 years,21 - 30 years,High School,Woman,White
25-34,Transportation,Other,56000,0.0,USD,,United States,Illinois,Joliet,8 - 10 years,5-7 years,Some college,Woman,White
45-54,Engineering/Manufacturing,Other,47840,2000.0,USD,,United States,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,"Asian or Asian American, White"
45-54,Business/Consulting,Manager (General),150000,20000.0,USD,,United States,Florida,Plant City,21 - 30 years,11 - 20 years,Master's degree,Woman,White
45-54,Information Technology,Manager (General),150000,0.0,USD,,United States,Massachusetts,Boston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
45-54,Business/Consulting,Consultant,105000,5000.0,USD,,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Finance,Analyst (General),100000,5000.0,USD,,United States,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
35-44,Engineering/Manufacturing,Project Manager,97500,8000.0,USD,,United States,Illinois,Lisle,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American
25-34,Finance,Other,100000,50000.0,USD,,United States,Texas,Dallas,5-7 years,5-7 years,College degree,Man,White
45-54,Health,Other,125000,0.0,USD,,United States,Massachusetts,Salem,21 - 30 years,8 - 10 years,College degree,Woman,White
35-44,Government,Director,63000,0.0,USD,,United States,Wisconsin,Platteville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Retail/Sales,Manager (General),50000,50000.0,GBP,,United Kingdom,,Remote (live in Nottingham),8 - 10 years,5-7 years,College degree,Woman,White
35-44,Other,Other,79000,1000.0,USD,,United States,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Other,Other,52000,0.0,USD,,United States,Maryland,Suitland,5-7 years,2 - 4 years,Master's degree,Man,White
25-34,Government,Other,109000,3000.0,USD,,United States,Maryland,Suitland,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Education,Professor/Faculty,54000,0.0,GBP,,United Kingdom,,London,21 - 30 years,21 - 30 years,PhD,Woman,White
45-54,Media/Entertainment,Writer/Editor,120000,0.0,USD,,United States,Georgia,Atlanta,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American
25-34,Education,Other,40613,0.0,GBP,,United Kingdom,,London,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Other,Librarian,70000,2400.0,USD,,United States,New York,New York,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Biotech,Manager (General),110000,2500.0,USD,,United States,Maryland,Rockville,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Other,58000,,CAD,,Canada,,Winnipeg,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Government,Other,58000,0.0,CAD,,Canada,,Toronto,8 - 10 years,5-7 years,Some college,Woman,White
18-24,Finance,Accountant,45000,0.0,USD,,United States,Indiana,Indianapolis ,1 year or less,1 year or less,College degree,Woman,White
35-44,Government,Director,70000,5000.0,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Other,Manager (General),115000,0.0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White
25-34,Transportation,Other,32640,0.0,EUR,,Ireland,,Dublin,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Agriculture,Other,17000,0.0,USD,,United States,Pennsylvania,North East,11 - 20 years,5-7 years,Master's degree,Non-binary,White
25-34,Government,Analyst (General),64000,,USD,,United States,Maryland,Baltimore ,5-7 years,1 year or less,College degree,Woman,Black or African American
55-64,Real Estate,Manager (General),66000,0.0,USD,,United States,Texas,Houston Area,31 - 40 years,21 - 30 years,College degree,Woman,White
45-54,Engineering/Manufacturing,Manager (General),80000,4000.0,USD,,United States,Pennsylvania,Pittsburgh ,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Government,Analyst (General),78000,,USD,,United States,New York,NYC,5-7 years,2 - 4 years,Master's degree,Woman,White
18-24,Legal,Other,65000,5000.0,USD,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,Master's degree,Woman,White
65 or over,Health,Other,110000,10000.0,USD,,United States,Wisconsin,Milwaukee,41 years or more,31 - 40 years,Master's degree,Woman,White
35-44,Finance,Bookkeeper,114400,0.0,USD,,United States,Virginia,Charlottesville,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Other,Other,111500,,USD,,United States,Idaho,Idaho Falls,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Director,58300,0.0,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofit,Director,700000,,USD,,United States,New York,ROCHESTER ,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Information Technology,Software Engineer,156000,189000.0,USD,,United States,Massachusetts,Metro Boston,21 - 30 years,21 - 30 years,Master's degree,Prefer not to answer,Another option not listed here or prefer not to answer
45-54,Information Technology,Other,130000,13000.0,USD,,United States,Minnesota,Twin cities metro area,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Other,Librarian,75000,,USD,,United States,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Librarian,39000,0.0,GBP,,United Kingdom,,London,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Information Technology,Marketing Manager,126000,15000.0,USD,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Engineering/Manufacturing,Manager (General),125000,3500.0,USD,,United States,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Nonprofit,Project Manager,87000,0.0,CAD,,Canada,,Toronto,2 - 4 years,2 - 4 years,PhD,Woman,Another option not listed here or prefer not to answer
35-44,Education,Other,38480,,USD,,United States,Minnesota,Duluth,11 - 20 years,5-7 years,College degree,Woman,White
